,Spanish,German,Japanese,Korean
_ForgotToLockMaterial,;;OLIVIDASTE BLOQUEAR ESTE MATERIAL;,;;YOU_FORGOT_TO_LOCK_THIS_MATERIAL;,;;マテリアルのロックをお忘れです;,;;머티리얼을 잠그는 것을 잊으셨습니다;
_LockTooltip,Las animaciones no funcionan por defecto cuando están bloqueadas. Haga clic derecho en una propiedad si desea animarla. El sombreador se bloqueará automáticamente en el tiempo de carga.,Animationen funktionieren standardmäßig nicht,wenn sie gesperrt sind. Klicken Sie mit der rechten Maustaste auf eine Eigenschaft,애니메이션은 기본적으로 잠겨 있으면 작동하지 않습니다. 잠겨 있는 경우 속성을 마우스 오른쪽 버튼으로 클릭하십시오
GeometryShader_Enabled,Sombreador de geometría activado,GEOMETRIE-SHADER AKTIVIERT,ジオメトリ シェーダが有効,지오메트리 셰이더 활성화됨
Tessellation_Enabled,Teselado activado,TESSELLIERUNG AKTIVIERT,テッセレーション有効,테셀레이션 활성화됨
_Mode,Ajuste predeterminado de renderizado,Rendering-Voreinstellung,レンダリング プリセット,렌더링 프리셋
m_mainCategory,Color y normales,Farbe & Normalen,色とノーマル (法線),색상 & 노멀
_Color,Color y alfa,Farbe & Alpha,カラー＆アルファ,색상 & 알파
_MainTex,Textura principal,Textur,テクスチャ,텍스처
_MainTexUV,UV,UV,UV,UV
_MainTexPan,Barrido,Schwenken,パンニング,패닝
_MainPixelMode,Modo píxel,Pixelmodus,ピクセル モード,픽셀 모드
_MainTexStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_BumpMap,Mapa de normales,Normale Karte,ノーマルマップ (法線マップ),노멀 맵
_BumpMapPan,Barrido,Schwenken,パンニング,패닝
_BumpMapUV,UV,UV,UV,UV
_BumpScale,Intensidad,Intensität,輝度調整,강도
_BumpMapStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_ClippingMask,Máscara de recorte (Canal alfa),Alpha-Karte,アルファマップ,알파 맵
_ClippingMaskPan,Barrido,Schwenken,パンニング,패닝
_ClippingMaskUV,UV,UV,UV,UV
_Inverse_Clipping,Invertir recorte,Umkehren,反転,반전
_Cutoff,Umbral alfa,Alpha-Cutoff,アルファ カットオフ,알파 컷오프
m_start_MainHueShift,Cambio de tono,Farbanpassung,ぼかし調整,색조 조정
_MainColorAdjustToggle,Ajustar colores,Farben anpassen,色を調整する,색상 조정
_MainColorAdjustTexture,Máscara de ajuste (Expandir),Maske (Erweitern),マスク（拡大）,마스크 (확장)
_MainColorAdjustTexturePan,Barrido,Schwenken,パンニング,패닝
_MainColorAdjustTextureUV,UV,UV,UV,UV
_Saturation,Saturación,Sättigung,彩度,채도
_MainBrightness,Brillo,Helligkeit,明るさ,밝기
_MainHueShiftToggle,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_MainHueShiftReplace,¿Reemplazo de tono?,Farbton ersetzen?,ぼかし置換,색조 교체?
_MainHueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
_MainHueShiftSpeed,Velocidad del cambio,Farbtonverschiebungsgeschwindigkeit,ぼかしシフト速度,색조 시프트 속도
